name,sfr_h18,tf_type,nndist_proj,nndist_kd,tf_confidence,modelu_rcorr,econame,mu_delta,grpn,fc,logmh,grpnassoc,grp,grpradeg,grpdedeg,logmhdyn,grpsig,grprproj,logmhdynstack,logmh_e17,logmhdynh_e17,grp_e17,exth,modelg_r,extj,extk,e_uhmag,exti,ukmag,extg,2kmag,nuvmag,extz,dedeg,e_zmag,e_ukmag,e_uymag,extu,radeg,extr,e_2kmag,2jmag,r50,gmag,uymag,rmag,modelg_i,modelg_j,dgr,2hmag,imag,b_a,extnuv,r90,e_2hmag,e_imag,modelu_j,modelu_k,modelu_i,modelu_r,logmstar,e_uvm2mag,grpcz,uvm2mag,e_rmag,absrmag,modelg_k,zmag,extuvm2,exty,e_umag,cz,e_nuvmag,e_2jmag,e_gmag,uhmag,umag,fl_insample,ef21corr_rand,f21corr,f21,limflagmhi,confused,deconf_mode,ef21corr_sys,hitelescope,rms_hi,e_f21,dens_corr_b,f_s16sample_s,dens_corr_s,groupmass_b,groupid_b,dist_b,dens_b,f_dist_s,dist_s,f_s16sample_b,groupid_s,groupmass_s,dens_s,f_dist_b
rf0606,0.00361643,NaN,0.0,0.0432817437826,NaN,1.81059,notineco,8.74283,4.0,0,12.0639,6.0,140.0,21.8295,-1.05874,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02,0.65,0.03,0.01,0.22,0.07,14.63,0.13,-99.0,22.04,0.05,-1.1131566,0.05,1.44,0.88,0.17,21.745298,0.09,-99.0,15.49,2.37,18.51,16.54,17.83,0.94,2.21,-0.01,-99.0,17.49,0.95,0.31,5.49,-99.0,0.02,3.61,4.44,2.34,2.05,8.65,-99.0,5203.56,-99.0,0.03,-16.69,3.05,17.24,0.32,0.04,0.11,5365.1,0.53,0.19,0.02,15.68,19.99,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0607,0.07653754,2,0.58389002,0.702410492096,2,0.907969,notineco,7.95333,1.0,1,10.9379,1.0,144.0,21.8123,1.0273,NaN,NaN,NaN,NaN,10.92,11.21,144.0,0.02,0.33,0.03,0.01,0.65,0.06,15.1,0.11,-99.0,19.21,0.04,1.0280711,0.1,2.37,-99.0,0.15,21.811196,0.08,-99.0,15.54,6.05,17.37,-99.0,16.97,0.54,1.76,0.07,-99.0,16.74,0.92,0.27,16.28,-99.0,0.02,2.73,3.6,1.5,1.3,8.57,-99.0,5530.7,-99.0,0.07,-17.6,2.63,16.57,0.28,0.04,0.06,5530.7,0.08,0.24,0.04,14.82,18.28,1,0.0,0.0,0.23,0,0,0,0.0,AO,0.56,0.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0608,0.02533898,NaN,0.32264,1.18402708441,NaN,1.05152,notineco,7.87208,1.0,1,10.7219,1.0,453.0,21.8375,-0.2691,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02,0.27,0.02,0.01,0.79,0.06,16.36,0.1,-99.0,20.06,0.04,-0.26906053,0.05,0.61,0.58,0.14,21.837806,0.07,-99.0,-99.0,3.69,18.23,16.93,17.87,0.43,1.55,0.07,-99.0,17.71,0.69,0.25,8.94,-99.0,0.02,2.53,3.32,1.42,1.25,8.03,-99.0,4812.5,-99.0,0.03,-16.39,2.34,17.53,0.25,0.03,0.04,4812.5,0.07,-99.0,0.02,16.23,19.2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0609,0.01227047,NaN,0.26251999,0.536017536356,NaN,1.46605,notineco,8.26167,1.0,1,10.7918,1.0,454.0,21.8631,-1.1175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02,0.53,0.03,0.01,1.2,0.07,15.51,0.12,-99.0,21.36,0.05,-1.1174727,0.06,1.87,0.53,0.17,21.863161,0.09,-99.0,15.67,3.83,18.51,16.83,17.92,0.79,2.01,-0.1,-99.0,17.58,0.78,0.3,9.97,-99.0,0.02,3.23,4.05,2.01,1.75,8.57,-99.0,5930.7,-99.0,0.02,-16.81,2.83,17.39,0.31,0.04,0.04,5930.7,0.08,0.61,0.03,16.16,19.63,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0611,0.02094116,NaN,0.57402998,0.547332530106,NaN,1.22885,notineco,7.24276,1.0,1,10.7526,1.0,455.0,21.9454,0.501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02,0.34,0.03,0.01,0.67,0.06,-99.0,0.11,-99.0,21.12,0.04,0.50096744,0.14,-99.0,0.84,0.15,21.945239,0.08,-99.0,-99.0,5.54,19.06,18.1,18.6,0.53,1.64,0.01,-99.0,18.33,0.44,0.26,12.0,-99.0,0.05,2.71,3.49,1.6,1.41,8.21,-99.0,7202.6,-99.0,0.07,-16.54,2.42,18.26,0.27,0.03,0.05,7202.6,0.23,-99.0,0.03,17.57,20.13,0,0.0,0.0,0.33,1,0,0,0.0,ALFALFA,3.11,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0612,0.02290653,NaN,0.52117002,0.547332530106,NaN,2.09433,notineco,9.41177,1.0,1,11.2889,1.0,151.0,22.2355,0.6332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02,0.72,0.02,0.01,0.23,0.05,13.1,0.1,13.4,20.97,0.04,0.63327302,0.02,0.22,0.15,0.14,22.235591,0.07,0.1,13.95,4.25,16.59,14.37,15.83,1.05,2.33,-0.04,13.34,15.45,0.42,0.24,12.61,0.14,0.02,3.79,4.65,2.51,2.18,9.87,-99.0,7196.2,-99.0,0.02,-19.31,3.19,15.18,0.25,0.03,0.03,7196.2,0.14,0.13,0.02,13.23,18.17,0,0.0,0.0,0.46,1,0,0,0.0,ALFALFA,3.06,0.0,10.12,1,10.3,11.36,20093,27.51,9.49,1,30.17,1,10090,11.51,9.63,1
rf0613,0.00308177,NaN,0.13428999,1.14976248485,NaN,1.38048,notineco,7.61061,1.0,1,10.4093,1.0,456.0,22.4719,-1.172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02,0.46,0.03,0.01,-99.0,0.06,-99.0,0.12,-99.0,22.11,0.05,-1.1719252,0.28,-99.0,-99.0,0.16,22.47192,0.08,-99.0,-99.0,4.22,19.28,-99.0,18.83,0.71,1.98,0.02,-99.0,18.51,0.74,0.28,10.64,-99.0,0.04,3.33,4.23,2.06,1.82,7.83,-99.0,4707.9,-99.0,0.11,-15.39,2.88,18.31,0.29,0.04,0.5,4707.9,0.55,-99.0,0.03,-99.0,20.89,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0614,0.01522725,NaN,0.12561999,0.12912311305,NaN,1.17387,notineco,7.52684,1.0,0,11.1369,2.0,158.0,22.617,-0.7299,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02,0.34,0.03,0.01,1.21,0.06,14.99,0.12,-99.0,20.8,0.05,-0.77887528,0.9,1.29,0.78,0.16,22.536939,0.08,-99.0,-99.0,4.47,18.58,16.89,18.17,0.54,1.78,0.05,-99.0,17.95,0.84,0.28,9.2,-99.0,0.04,2.92,3.81,1.68,1.47,8.11,-99.0,5513.7,-99.0,0.05,-16.35,2.67,17.74,0.29,0.04,0.13,5404.8,0.12,-99.0,0.03,15.33,19.74,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0615,0.00612764,0,2.01999998,4.85587094223,0,1.80673,notineco,8.0389,1.0,1,10.8709,1.0,161.0,22.8548,-0.8861,NaN,NaN,NaN,NaN,10.86,10.99,161.0,0.02,0.61,0.03,0.01,2.05,0.06,15.94,0.12,-99.0,22.14,0.05,-0.88611596,0.08,0.72,0.21,0.16,22.854868,0.08,-99.0,-99.0,4.26,18.51,15.99,17.87,0.87,2.08,0.01,-99.0,17.57,0.69,0.28,9.92,-99.0,0.02,3.43,4.22,2.21,1.95,8.65,-99.0,6718.3,-99.0,0.02,-17.12,2.88,17.41,0.29,0.04,0.06,6718.3,0.75,-99.0,0.02,15.78,19.99,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0616,0.00697064,NaN,0.34136,0.341430237041,NaN,1.52145,notineco,7.71917,3.0,0,12.4439,4.0,163.0,22.9233,-0.894085,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02,0.51,0.03,0.01,1.72,0.06,16.01,0.11,-99.0,21.7,0.04,-1.1823625,0.06,0.75,0.82,0.16,22.91842,0.08,-99.0,-99.0,4.71,18.69,16.81,18.14,0.75,1.93,0.02,-99.0,17.88,0.45,0.28,11.07,-99.0,0.03,3.23,4.02,2.05,1.81,8.23,-99.0,5484.06,-99.0,0.02,-16.41,2.72,17.65,0.29,0.04,0.1,5482.7,0.47,-99.0,0.03,16.24,19.92,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0617,0.00678764,NaN,-999.0,0.095389420232,NaN,1.40375,notineco,7.66007,5.0,0,12.3499,8.0,167.0,23.5263,-1.05931,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02,0.43,0.03,0.01,0.77,0.07,15.31,0.12,-99.0,22.01,0.05,-1.1273753,0.4,1.7,1.55,0.16,23.570741,0.09,-99.0,-99.0,4.76,18.72,17.52,18.23,0.65,1.81,0.1,-99.0,17.94,0.65,0.29,10.64,-99.0,0.03,3.03,3.83,1.87,1.65,8.07,-99.0,4833.69,-99.0,0.03,-15.93,2.61,17.74,0.3,0.04,0.05,4567.7,0.78,-99.0,0.03,16.2,19.82,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0618,0.01707855,NaN,0.23777001,0.235036792735,NaN,0.686366,notineco,8.18064,5.0,0,12.3499,8.0,167.0,23.5263,-1.05931,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02,0.41,0.03,0.01,0.39,0.07,15.4,0.13,-99.0,20.59,0.05,-1.1771434,0.05,0.45,0.41,0.18,23.807123,0.1,-99.0,-99.0,2.41,18.86,17.2,18.43,0.69,2.13,0.25,-99.0,18.07,0.64,0.32,5.65,-99.0,0.04,3.03,4.05,1.59,1.31,8.01,-99.0,4833.69,-99.0,0.03,-15.89,3.15,17.82,0.33,0.04,0.04,4886.2,1.37,-99.0,0.02,15.86,19.85,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0619,0.03389806,NaN,0.32574001,1.15729908159,NaN,0.697165,notineco,7.0485,1.0,1,10.5556,1.0,459.0,23.9335,-0.388,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02,0.08,0.03,0.01,0.7,0.07,16.11,0.14,-99.0,20.09,0.05,-0.38801371,1.8,1.34,0.9,0.18,23.933664,0.1,-99.0,-99.0,3.72,18.85,18.44,18.73,0.14,1.1,0.07,-99.0,18.7,0.43,0.33,7.55,-99.0,0.03,1.77,2.47,0.81,0.75,7.45,-99.0,5155.3,-99.0,0.07,-15.7,1.81,18.58,0.34,0.04,0.1,5155.3,0.22,-99.0,0.03,17.16,19.62,0,0.0,0.0,0.47,0,0,0,0.0,GBT,1.25,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0620,0.01720635,NaN,0.34064001,1.64059313963,NaN,1.07903,notineco,7.8219,1.0,1,10.6425,1.0,460.0,24.0554,-0.6104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02,0.32,0.03,0.01,0.54,0.06,16.96,0.12,-99.0,20.78,0.05,-0.61039879,0.14,0.69,0.8,0.16,24.055523,0.08,-99.0,-99.0,3.18,18.88,17.44,18.48,0.5,1.64,0.1,-99.0,18.27,0.73,0.28,7.55,-99.0,0.03,2.63,3.43,1.5,1.31,7.97,-99.0,5391.1,-99.0,0.04,-16.04,2.43,17.97,0.29,0.04,0.04,5391.1,0.1,-99.0,0.02,16.78,19.85,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0621,0.04088906,NaN,0.22944,0.907459938477,NaN,0.625861,notineco,6.93348,1.0,1,10.5605,1.0,461.0,24.6459,0.3348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02,0.07,0.03,0.01,2.1,0.07,-99.0,0.13,-99.0,19.88,0.05,0.33497676,1.13,-99.0,1.46,0.17,24.645743,0.09,-99.0,-99.0,5.46,18.82,18.55,18.73,0.13,1.11,-0.04,-99.0,18.7,0.33,0.31,13.65,-99.0,0.07,1.71,2.43,0.74,0.68,7.47,-99.0,5197.4,-99.0,0.08,-15.72,1.83,18.52,0.32,0.04,0.04,5197.4,0.08,-99.0,0.04,16.72,19.46,0,0.0,0.0,0.34,0,0,0,0.0,AO,1.14,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0622,0.03663859,0,0.31933001,0.859416282202,0,1.2751,notineco,7.08795,1.0,1,10.8979,1.0,176.0,24.9792,-0.2548,NaN,NaN,NaN,NaN,10.88,11.06,176.0,0.02,0.24,0.03,0.01,0.57,0.07,15.72,0.13,14.31,19.88,0.05,-0.25477663,0.18,1.86,0.54,0.18,24.979229,0.1,0.66,-99.0,10.61,17.43,16.6,17.1,0.38,1.42,-0.08,-99.0,16.87,0.3,0.32,22.79,-99.0,0.07,2.57,3.35,1.53,1.4,8.35,-99.0,5228.3,-99.0,0.14,-17.36,2.19,16.76,0.33,0.04,0.31,5228.3,0.07,-99.0,0.17,15.43,17.38,1,0.0,0.0,0.65,0,0,0,0.0,GBT,1.13,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0623,0.00647052,NaN,0.41525999,0.401877457398,NaN,1.39351,notineco,8.44953,1.0,1,10.6933,1.0,463.0,25.3145,-0.7049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02,0.55,0.03,0.01,1.26,0.07,14.96,0.12,-99.0,21.67,0.05,-0.70470549,0.06,0.29,0.4,0.16,25.31466,0.09,-99.0,-99.0,2.43,18.82,17.1,18.21,0.82,2.11,0.11,-99.0,17.9,0.94,0.29,5.96,-99.0,0.02,3.43,4.3,2.14,1.87,8.31,-99.0,5261.5,-99.0,0.03,-16.26,2.98,17.66,0.3,0.04,0.1,5261.5,0.46,-99.0,0.02,15.98,20.01,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0624,0.01778774,NaN,0.60434997,1.793331991,NaN,1.24536,notineco,7.82835,1.0,1,10.7278,1.0,464.0,27.7635,0.3106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02,0.31,0.03,0.01,0.28,0.07,14.05,0.13,-99.0,20.88,0.05,0.31058097,0.17,0.59,0.74,0.17,27.763535,0.09,-99.0,-99.0,3.48,18.72,15.65,18.3,0.48,1.57,0.15,-99.0,18.1,0.65,0.31,8.27,-99.0,0.02,2.66,3.44,1.58,1.4,8.13,-99.0,5885.0,-99.0,0.03,-16.42,2.35,17.88,0.32,0.04,0.05,5885.0,0.11,-99.0,0.03,16.92,19.82,0,0.0,0.0,0.46,1,0,0,0.0,ALFALFA,4.8,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0625,0.00958219,NaN,0.39471,1.83333578382,NaN,1.32122,notineco,7.96131,1.0,1,10.6771,1.0,465.0,27.9185,-0.0713,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02,0.44,0.03,0.01,1.24,0.07,15.88,0.13,-99.0,21.52,0.05,-0.071240248,0.09,0.45,0.44,0.18,27.918603,0.1,-99.0,-99.0,3.51,18.96,17.37,18.43,0.67,1.89,0.03,-99.0,18.18,0.47,0.32,8.52,-99.0,0.02,3.09,3.93,1.86,1.63,8.21,-99.0,5617.7,-99.0,0.03,-16.19,2.74,17.97,0.33,0.04,0.06,5617.7,0.23,-99.0,0.02,16.51,20.13,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0626,0.03538251,NaN,0.45646,0.916807670621,NaN,0.816678,notineco,7.52506,1.0,1,10.7065,1.0,466.0,28.3583,-1.1894,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02,0.22,0.02,0.01,1.28,0.06,14.97,0.1,-99.0,20.58,0.04,-1.1892484,2.04,3.47,0.76,0.14,28.35832,0.07,-99.0,-99.0,4.67,18.69,17.33,18.33,0.36,1.48,0.02,-99.0,18.18,0.83,0.24,13.23,-99.0,0.05,2.31,3.12,1.2,1.06,7.91,-99.0,5770.7,-99.0,0.07,-16.32,2.28,18.01,0.25,0.03,0.05,5770.7,0.98,-99.0,0.07,17.23,19.5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0627,0.0244298,NaN,1.67639995,4.19094186042,NaN,0.8037,notineco,7.49603,1.0,1,10.6345,1.0,467.0,28.4095,1.1618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02,0.25,0.03,0.01,0.99,0.06,16.49,0.11,-99.0,20.73,0.04,1.1619051,0.25,2.4,1.63,0.15,28.409409,0.08,-99.0,-99.0,3.07,19.16,17.58,18.84,0.41,1.56,0.08,-99.0,18.67,0.52,0.28,6.79,-99.0,0.02,2.42,3.24,1.27,1.11,7.81,-99.0,6290.4,-99.0,0.04,-16.01,2.38,18.49,0.28,0.04,0.06,6290.4,0.12,-99.0,0.02,17.54,20.04,0,0.0,0.0,0.3,1,0,0,0.0,ALFALFA,3.07,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0628,0.02659678,NaN,0.21610001,0.209239852325,NaN,1.08903,notineco,7.35757,3.0,0,12.3309,5.0,189.0,28.6446,-0.141401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02,0.33,0.03,0.01,1.14,0.07,15.67,0.12,-99.0,20.52,0.05,-0.04653364,0.77,0.53,0.82,0.17,28.506976,0.09,-99.0,14.65,6.25,18.43,17.04,18.02,0.53,1.76,0.07,-99.0,17.78,0.63,0.3,13.79,-99.0,0.07,2.82,3.7,1.59,1.39,8.25,-99.0,5712.23,-99.0,0.09,-16.72,2.64,17.45,0.31,0.04,0.08,5967.1,0.04,0.39,0.03,15.9,19.29,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0629,0.02091207,NaN,0.16497,0.159860464509,NaN,1.67912,notineco,7.62381,6.0,0,12.2629,6.0,187.0,28.6057,-0.647255,12.57,95.55,0.177,12.46,12.27,12.13,187.0,0.02,0.46,0.03,0.01,0.39,0.07,14.68,0.12,-99.0,20.4,0.05,-0.47493255,0.15,0.88,0.44,0.16,28.743269,0.09,-99.0,-99.0,10.19,17.19,16.16,16.7,0.66,1.75,0.0,-99.0,15.98,0.73,0.29,24.91,-99.0,0.06,3.01,3.76,1.92,1.72,8.71,-99.0,4928.77,-99.0,0.12,-17.71,2.5,16.09,0.3,0.04,0.16,5124.4,0.06,-99.0,0.07,15.56,18.28,1,0.0,0.0,0.14,0,0,0,0.0,GBT,0.79,0.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0630,0.06272176,0,-999.0,0.0795867327576,0,1.02,notineco,7.92129,2.0,0,11.7379,2.0,191.0,28.7398,-0.611905,NaN,NaN,NaN,NaN,11.74,11.92,191.0,0.02,0.18,0.02,0.01,0.66,0.06,16.22,0.1,-99.0,19.82,0.04,-0.62636092,0.08,0.66,0.37,0.14,28.757818,0.08,-99.0,-99.0,2.88,18.11,17.01,17.85,0.29,1.33,0.09,-99.0,17.73,0.67,0.25,6.86,-99.0,0.03,2.28,3.04,1.24,1.13,8.19,-99.0,6838.45,-99.0,0.03,-17.19,2.1,17.59,0.26,0.03,0.04,6887.4,0.05,-99.0,0.02,16.26,19.1,1,0.0,0.0,0.59,0,0,0,0.0,AO,0.53,0.02,11.49,0,0.0,11.81,20115,5.16,11.45,0,0.0,1,0,0.0,0.0,1
rf0631,0.02522778,NaN,0.16096,1.15867201757,NaN,0.686582,notineco,7.84711,1.0,1,10.6198,1.0,472.0,28.8621,0.1043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02,0.28,0.03,0.01,0.38,0.07,16.16,0.12,-99.0,20.21,0.05,0.10441387,0.1,0.84,1.05,0.17,28.86205,0.09,-99.0,-99.0,3.08,18.75,17.02,18.35,0.48,1.71,0.22,-99.0,18.19,0.67,0.3,7.7,-99.0,0.04,2.5,3.38,1.27,1.08,7.83,-99.0,4868.0,-99.0,0.03,-15.95,2.59,17.99,0.31,0.04,0.05,4868.0,0.16,-99.0,0.03,16.13,19.5,0,0.0,0.0,0.24,1,0,0,0.0,ALFALFA,2.65,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0632,0.0282617,NaN,1.24329996,2.60467633348,NaN,1.02961,notineco,7.67403,1.0,1,10.7948,1.0,473.0,28.8679,0.9505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02,0.35,0.03,0.01,-99.0,0.07,15.41,0.12,-99.0,20.18,0.05,0.9504869,0.09,0.45,0.57,0.17,28.867846,0.09,-99.0,-99.0,5.46,18.26,16.66,17.79,0.56,1.8,0.12,-99.0,17.34,0.35,0.29,13.37,-99.0,0.24,2.83,3.71,1.59,1.38,8.27,-99.0,5450.0,-99.0,0.1,-16.75,2.68,17.43,0.3,0.04,0.15,5450.0,0.09,-99.0,0.03,-99.0,19.24,0,0.0,0.0,0.41,0,0,0,0.0,AO,0.83,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0633,0.04137382,NaN,0.26449001,0.32821711239,NaN,1.07209,notineco,7.45411,1.0,1,10.8389,1.0,474.0,28.9076,-0.5839,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02,0.28,0.03,0.01,0.93,0.06,16.13,0.12,-99.0,20.32,0.05,-0.5840417,0.37,0.62,0.67,0.16,28.90775,0.08,-99.0,-99.0,4.49,18.43,17.13,18.03,0.45,1.57,-0.02,-99.0,17.84,0.87,0.28,9.02,-99.0,0.03,2.57,3.37,1.45,1.28,8.27,-99.0,6805.8,-99.0,0.05,-16.99,2.37,17.61,0.29,0.04,0.06,6805.8,0.04,-99.0,0.03,16.87,19.28,0,0.02,0.24,0.25,0,1,1,0.2,AO,0.74,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0634,0.00624195,NaN,0.60676998,1.22134914631,NaN,1.35799,notineco,8.12249,1.0,1,10.5327,1.0,475.0,29.1782,-0.7662,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02,0.4,0.03,0.01,0.46,0.06,16.92,0.11,-99.0,21.36,0.04,-0.76612511,0.14,1.56,0.65,0.15,29.178284,0.08,-99.0,-99.0,2.58,19.0,17.83,18.5,0.61,1.75,0.09,14.99,18.29,0.81,0.27,6.13,0.48,0.03,2.91,3.71,1.77,1.56,7.93,-99.0,4494.5,-99.0,0.04,-15.62,2.55,18.14,0.28,0.04,0.1,4494.5,0.15,-99.0,0.02,16.89,20.09,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0635,0.023773,NaN,0.59626001,0.970352058902,NaN,1.10962,notineco,6.8066,1.0,1,10.7136,1.0,476.0,29.2335,-0.8149,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02,0.2,0.03,0.01,2.49,0.06,15.33,0.11,-99.0,20.88,0.04,-0.81535301,3.45,0.68,11.78,0.14,29.23367,0.08,-99.0,-99.0,7.79,18.92,17.6,18.68,0.32,1.39,0.02,-99.0,18.53,0.29,0.26,19.09,-99.0,0.03,2.41,3.21,1.34,1.22,7.91,-99.0,6850.6,-99.0,0.05,-16.35,2.19,18.4,0.26,0.03,0.14,6850.6,0.22,-99.0,0.02,17.19,19.74,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0636,0.00725535,NaN,0.24000999,0.239988541546,NaN,1.36598,notineco,8.27094,1.0,0,11.6089,2.0,195.0,29.2285,-0.6402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02,0.45,0.03,0.01,0.56,0.06,16.06,0.11,-99.0,21.7,0.04,-0.49275155,0.09,1.79,0.47,0.15,29.300986,0.08,-99.0,-99.0,1.94,19.3,17.63,18.78,0.68,1.87,0.03,-99.0,18.51,0.66,0.27,4.39,-99.0,0.02,3.07,3.89,1.89,1.66,8.11,-99.0,5847.7,-99.0,0.03,-15.92,2.68,18.33,0.27,0.03,0.05,5868.1,0.58,-99.0,0.02,17.1,20.53,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0637,0.00672391,NaN,0.0,0.046291193627,NaN,1.80859,notineco,7.76073,1.0,0,11.4159,2.0,197.0,29.646,-0.4855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01,0.55,0.02,0.01,0.42,0.05,15.86,0.09,-99.0,22.35,0.03,-0.50552789,0.09,0.42,0.99,0.12,29.627402,0.06,-99.0,-99.0,4.82,18.6,16.9,17.99,0.79,1.93,0.03,-99.0,17.72,0.35,0.21,11.46,-99.0,0.02,3.23,3.97,2.09,1.86,8.45,-99.0,6769.9,-99.0,0.02,-16.96,2.66,17.45,0.21,0.03,0.04,6651.1,0.31,-99.0,0.02,15.93,19.86,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
